graph,category,energy,laplacian_energy
CA-AstroPh,Collaboration,3612.262097,21491.076966
CA-cit-HepPh,Collaboration,7446.568142,209020.639534
CA-CondMat,Collaboration,1715.904031,9168.564176
CA-Erdos992,Collaboration,727.918719,3613.052508
CA-GrQc,Collaboration,935.842722,4030.201235
CA-HepTh,Collaboration,979.351648,3485.88398
CA-sandi_auths,Collaboration,110.939442,186.526601
feather-deezer-social,Social,1259.968475,6452.918519
feather-lastfm-social,Social,1208.760586,7041.645381
musae_facebook,Social,3056.151718,24729.515085
musae_github,Social,3671.33272,89609.45186
soc-twitter-follows,Social,3019.940969,48157.94929
soc-youtube,Social,6292.805429,240090.418009
Celegans_Metabolic_453node,Miscellaneous,477.075912,1563.730545
Dolphins_63node,Miscellaneous,107.024382,196.09839
Karate_Club_33node,Miscellaneous,48.303206,108.307816
Polbooks_241node,Miscellaneous,385.899288,1116.577607
alpha,Biological,380.531503,368.301329
beta,Biological,382.415553,381.669599
bio-dmela,Biological,1089.362577,6084.571366
bio-grid-human,Biological,1266.847351,8279.269853
bio-grid-yeast,Biological,2949.296984,38617.244533
delta,Biological,378.850774,372.474925
Dyslexia_Cortex_64node,Biological,141.07677,335.459969
Florida ecosystem dry_128node_2106edge,Biological,405.864122,1023.54992
Little Rock Lake_182node,Biological,338.123269,1512.454536
Silwood Park_153node,Biological,155.717134,480.789371
Typical_Cortex_64node,Biological,161.031428,459.916528
Ythan Estuary_134node,Biological,247.820858,691.69099
